date_mesure;09145X0057_N210;09406X0643_P130;09145X0059_N340;08472X0007_F-1;09662X0038_F41;09141X0092_N381;10462X0117_F1;09143X0128_PT1;09964X0020_PZ1;08688X0023_PZ1;10202X0117_PN2;09724X0023_P2;09665X0073_203;09664X0207_F44;09402X0244_P185;09663X0260_PA5;08465X0019_S5;09668X0106_16;09145X0058_N256;09407X0392_156038;09407X0393_P259;09937X0135_P23B;09994X0521_P4B;09952X0082_F9B;10218X0195_F;10475X0046_F;09933X0088_F;09436X0138_1P;09437X0036_23P;09942X0048_S;09735X0149_P34BIS;09408X0052_PU;09691X0120_PIEZ;09952X0093_PIEZ
2011-05-08;-2.8857142857142857;-3.4585714285714286;-3.355714285714286;-4.0928571428571425;-5.397142857142858;-4.055714285714286;-84.98;-4.385714285714286;-29.012857142857143;-3.075714285714286;-5.231428571428572;-12.072857142857144;-3.3685714285714283;-5.644285714285714;-2.3185714285714285;-4.935714285714286;-1061.9585714285715;-11.74;-2.498571428571428;-5.022857142857142;-5.175714285714285;-9.709999999999999;-6.611428571428571;-4.978571428571429;-4.854285714285715;-3.5700000000000003;-12.842857142857143;-4.968571428571429;-4.205;-12.022857142857143;-9.015714285714285;-2.1385714285714283;-11.831428571428571;-4.575714285714286
2011-05-15;-3.0100000000000002;-3.532857142857143;-3.5471428571428567;-3.7985714285714285;-5.3428571428571425;-3.992857142857143;-85.1557142857143;-4.398571428571429;-29.285714285714285;-3.0814285714285714;-5.257142857142857;-12.087142857142856;-3.5628571428571427;-5.637142857142857;-2.345714285714286;-4.897142857142858;-1062.0014285714285;-11.705714285714285;-2.5828571428571427;-4.942857142857143;-5.115714285714286;-9.504285714285714;-6.5928571428571425;-4.984285714285714;-5.909999999999999;-3.23;-12.8;-5.0;-4.201428571428571;-11.932857142857143;-9.01142857142857;-2.2271428571428573;-11.784285714285714;-4.4157142857142855
2011-05-22;-3.1028571428571428;-3.5599999999999996;-3.584285714285714;-3.7885714285714287;-5.317142857142857;-3.9714285714285715;-85.30142857142857;-4.437142857142858;-28.767142857142858;-3.0799999999999996;-5.304285714285714;-12.26;-3.717142857142857;-5.582857142857143;-2.3771428571428572;-4.982857142857143;-1062.0242857142857;-11.625714285714285;-2.685714285714286;-4.8914285714285715;-5.1000000000000005;-8.995714285714286;-6.624285714285714;-4.937142857142858;-6.487142857142857;-3.3685714285714283;-12.8;-5.008571428571429;-4.002857142857143;-11.799999999999999;-9.065714285714286;-2.3000000000000003;-11.65;-4.225714285714285
2011-05-29;-3.225714285714286;-3.65;-3.742857142857143;-3.717142857142857;-5.204285714285715;-4.161428571428572;-85.505;-4.6571428571428575;-29.40142857142857;-3.0928571428571425;-5.331428571428572;-12.342857142857143;-3.9314285714285715;-5.55;-2.3042857142857143;-4.8500000000000005;-1062.03;-11.531428571428572;-2.8442857142857143;-4.8342857142857145;-5.1571428571428575;-9.285714285714286;-6.6971428571428575;-4.904285714285714;-6.425714285714285;-3.7485714285714287;-12.8;-4.965714285714285;-3.698571428571429;-11.67;-9.088571428571429;-2.38;-11.521428571428572;-3.924285714285714
2011-06-05;-3.29;-3.6342857142857143;-3.697142857142857;-3.68;-5.1571428571428575;-4.258571428571428;-85.53;-5.467142857142858;-28.67142857142857;-3.075714285714286;-5.3100000000000005;-12.39;-3.914285714285714;-5.428571428571429;-2.257142857142857;-4.837142857142857;-1062.0257142857142;-11.4;-2.801428571428571;-4.805714285714286;-5.144285714285714;-9.574285714285713;-6.667142857142857;-4.765714285714286;-6.192857142857143;-3.434285714285714;-12.757142857142856;-4.944285714285714;-3.75;-11.542857142857143;-9.072857142857142;-2.3628571428571425;-11.497142857142858;-3.532857142857143
2011-06-12;-3.19;-3.597142857142857;-3.567142857142857;-3.6914285714285713;-5.131428571428572;-4.228571428571429;-85.54857142857144;-5.494285714285715;-28.601428571428574;-3.0742857142857143;-5.121428571428572;-12.135;-3.5914285714285716;-5.340000000000001;-2.0585714285714287;-4.5371428571428565;-1062.0285714285715;-11.24;-2.6757142857142857;-4.785714285714286;-5.160000000000001;-9.531428571428572;-6.46;-4.424285714285714;-7.0442857142857145;-3.295714285714286;-12.7;-4.847142857142857;-3.81;-11.437142857142858;-8.881428571428572;-2.1785714285714284;-11.355714285714285;-3.317142857142857
2011-06-19;-3.3185714285714285;-3.652857142857143;-3.7585714285714285;-3.7142857142857144;-5.127142857142857;-4.175714285714286;-85.75142857142858;-5.381428571428572;-28.92571428571429;-3.108571428571428;-5.0528571428571425;-12.440000000000001;-3.84;-5.441428571428572;-2.107142857142857;-4.511428571428572;-1061.9614285714285;-11.245714285714286;-2.858571428571428;-4.768571428571428;-5.204285714285715;-9.654285714285715;-6.64;-4.394285714285714;-8.040000000000001;-3.402857142857143;-12.714285714285714;-5.082857142857143;-3.922857142857143;-11.391428571428573;-9.034285714285714;-2.28;-11.34;-3.3114285714285714
2011-06-26;-3.414285714285714;-3.7328571428571427;-3.858571428571429;-3.6971428571428575;-5.087142857142857;-3.707142857142857;-86.06428571428572;-5.421428571428572;-29.72;-3.1228571428571428;-4.985714285714287;-12.554285714285713;-4.0200000000000005;-5.528571428571429;-2.2857142857142856;-4.517142857142857;-1061.967142857143;-11.15857142857143;-3.0042857142857144;-4.775714285714286;-5.231428571428572;-9.627142857142857;-6.78;-4.435714285714286;-9.858333333333333;-3.3957142857142855;-12.7;-5.108571428571429;-3.8514285714285714;-11.321428571428571;-9.178571428571429;-2.3657142857142857;-11.347142857142858;-3.225714285714286
2011-07-03;-3.5157142857142856;-3.81;-4.055714285714286;-3.792857142857143;-5.077142857142857;-3.8999999999999995;-86.11428571428571;-5.9314285714285715;-29.775714285714287;-3.1442857142857146;-5.012857142857143;-12.644285714285713;-4.154285714285714;-5.468571428571429;-2.204285714285714;-4.552857142857143;-1061.9085714285716;-11.104285714285712;-3.1714285714285713;-4.7942857142857145;-5.232857142857143;-9.627142857142857;-6.877142857142857;-4.461428571428572;-9.525714285714287;-3.5985714285714288;-12.7;-5.124285714285714;-3.912857142857143;-11.247142857142858;-9.265714285714285;-2.447142857142857;-11.299999999999999;-3.0485714285714285
2011-07-10;-3.6314285714285717;-3.8200000000000003;-4.198571428571428;-3.9071428571428575;-5.017142857142857;-4.024285714285715;-86.21714285714286;-6.948571428571428;-29.087142857142858;-3.154285714285714;-5.057142857142857;-13.022857142857143;-4.295714285714285;-5.388571428571429;-2.337142857142857;-4.692857142857143;-1061.8428571428572;-11.135714285714286;-3.2785714285714285;-4.804285714285714;-5.237142857142857;-9.677142857142856;-6.967142857142858;-4.352857142857142;-9.282857142857141;-3.947142857142857;-12.657142857142857;-5.135714285714285;-3.6757142857142857;-11.18142857142857;-9.382857142857144;-2.5599999999999996;-11.30361111111111;-2.8785714285714286
