date_mesure;02388X0060_F1;03851X0021_S2;03128X0011_F;02442X0111_F;03822X0021_F;03113X0031_F;02465X0061_F;03493X0013_F;02451X0023_F;03114X0023_F;03462X0043_F;04184X0035_F;02431X0106_F;03871X0016_F;02408X0016_F;03546X0017_F;03152X0027_F;03107X0008_F;03124X0088_F;03884X0021_TF1PR;02396X0030_PZ;03486X0022_PZ;02478X0122_PZ;02047X0072_PZ;02034X0082_PZ;03101X0023_PZ;03535X0043_PZ;02413X0065_PZ;03137X0026_PZ;02803X0036_PZ;03516X0036_PZ;02385X0046_PZ;02478X0156_PZ;03182X0027_PZ;02782X0047_PZ;02812X0238_PZ;03175X0338_PZ;03473X0029_PZ;03162X0049_PZ;03834X0049_PZ
2012-07-15;-6.698571428571428;-1.874285714285714;-13.344285714285714;-1.7099999999999997;-3.203190476190476;-4.032857142857143;-7.948571428571428;-8.472857142857142;-1.856857142857143;-6.5528571428571425;-7.132857142857143;-7.4471428571428575;-2.8657142857142857;-9.968571428571428;-13.722857142857142;-3.948571428571429;-5.394285714285714;-9.395714285714286;-12.781428571428572;-5.578571428571428;-7.1242857142857146;-22.592857142857145;-4.857142857142857;-7.852857142857142;-4.267142857142857;-5.921428571428572;-3.59;-3.7728571428571427;-12.23;-2.2399999999999998;-4.611428571428571;-2.3957142857142855;-4.827142857142857;-5.438571428571429;-5.95;-1.7114285714285715;-2.2257142857142855;-4.0842857142857145;-9.29142857142857;-8.515714285714285
2012-07-22;-7.1414285714285715;-1.9185714285714286;-13.415714285714285;-1.8042857142857145;-3.3085714285714287;-4.082857142857143;-8.025714285714285;-8.538571428571428;-1.86;-6.7057142857142855;-7.185714285714285;-7.398571428571429;-2.924285714285715;-10.028571428571428;-13.772857142857143;-3.8771428571428572;-5.5249999999999995;-9.469999999999999;-12.049999999999999;-5.591428571428572;-7.931428571428571;-22.592857142857145;-4.912857142857143;-7.931428571428571;-4.214285714285714;-6.07;-3.617142857142857;-3.7842857142857143;-12.387142857142859;-2.3099999999999996;-4.711428571428572;-2.52;-4.882857142857143;-5.364285714285714;-5.972857142857143;-1.7285714285714284;-2.2514285714285713;-4.508571428571429;-9.407142857142857;-8.532857142857143
2012-07-29;-7.541428571428571;-1.9985714285714287;-13.532857142857143;-2.077142857142857;-3.3771428571428572;-4.12;-8.107142857142858;-8.627142857142857;-1.8828571428571428;-6.8500000000000005;-7.264285714285714;-7.652857142857143;-3.042857142857143;-10.125714285714285;-13.832857142857142;-3.948571428571429;-5.765714285714285;-9.62857142857143;-12.212857142857143;-5.621428571428572;-8.72;-22.625714285714285;-4.961428571428572;-7.985714285714286;-4.378571428571428;-6.301428571428572;-3.641428571428572;-3.8742857142857146;-12.549999999999999;-2.4;-4.832857142857143;-2.6471428571428572;-4.931428571428571;-5.344285714285713;-6.0042857142857144;-1.7414285714285713;-2.277142857142857;-5.2299999999999995;-9.494285714285715;-8.902857142857142
2012-08-05;-7.8428571428571425;-2.0385714285714287;-13.691428571428572;-2.4085714285714284;-3.4614285714285713;-4.281428571428571;-8.207142857142857;-8.694285714285714;-1.957142857142857;-7.005714285714285;-7.347142857142857;-7.871428571428572;-3.1285714285714286;-10.205714285714285;-13.907142857142857;-4.051428571428572;-6.006428571428571;-9.764285714285714;-12.905714285714286;-5.7299999999999995;-9.367142857142856;-22.702857142857145;-5.024285714285715;-8.081428571428571;-4.571428571428571;-6.5042857142857144;-3.6700000000000004;-3.9585714285714286;-12.685714285714285;-2.482857142857143;-4.964285714285714;-2.7457142857142856;-4.994285714285715;-5.4157142857142855;-6.05;-1.7614285714285713;-2.2914285714285714;-5.775714285714286;-9.625714285714285;-9.118571428571428
2012-08-12;-8.06;-2.087142857142857;-13.87142857142857;-2.7399999999999998;-3.52;-4.517142857142857;-8.304285714285713;-8.76142857142857;-2.04;-7.177142857142857;-7.425714285714286;-8.09;-3.2285714285714286;-10.281428571428572;-13.995714285714286;-4.18;-6.247142857142856;-9.884285714285713;-13.837142857142856;-5.845714285714286;-9.967142857142857;-22.825714285714287;-5.098571428571428;-8.214285714285714;-4.777142857142857;-6.67;-3.6999999999999997;-4.078571428571428;-12.775714285714287;-2.544285714285714;-5.098571428571428;-2.8542857142857145;-5.0685714285714285;-5.538571428571428;-6.0928571428571425;-1.7871428571428571;-2.3085714285714287;-6.104285714285715;-9.801428571428572;-9.12
2012-08-19;-8.151428571428571;-2.1185714285714288;-14.008571428571429;-3.0700000000000003;-3.5799999999999996;-4.74;-8.378571428571428;-8.812857142857142;-2.085714285714286;-7.325714285714286;-7.484285714285714;-8.337142857142856;-3.275714285714286;-10.344285714285714;-14.069999999999999;-4.252857142857143;-6.487857142857142;-9.907142857142857;-14.629999999999999;-5.898571428571429;-10.131428571428572;-22.954285714285714;-5.161428571428572;-8.285714285714286;-4.848571428571428;-6.751428571428571;-3.7228571428571433;-4.168571428571428;-12.862857142857141;-2.595714285714286;-5.115714285714286;-2.9314285714285715;-5.131428571428572;-5.622857142857143;-6.118571428571428;-1.802857142857143;-2.307142857142857;-6.325714285714286;-9.93142857142857;-9.141428571428571
2012-08-26;-8.237142857142857;-2.1585714285714284;-14.171428571428573;-3.44;-3.642857142857143;-4.95;-8.461428571428572;-8.89;-2.1514285714285717;-7.451428571428571;-7.534285714285715;-8.592857142857143;-3.345714285714286;-10.405714285714286;-14.155714285714286;-4.367142857142857;-6.728571428571428;-9.950000000000001;-15.285714285714286;-5.951428571428572;-10.171428571428573;-23.084285714285716;-5.234285714285714;-8.404285714285715;-4.844285714285713;-6.905714285714287;-3.7528571428571427;-4.267142857142857;-12.959999999999999;-2.718571428571429;-5.221428571428571;-2.9985714285714287;-5.204285714285715;-5.7299999999999995;-6.138571428571429;-1.8242857142857143;-2.3314285714285714;-6.5042857142857144;-10.102857142857143;-9.19
2012-09-02;-8.278571428571428;-2.2;-14.331428571428571;-3.837142857142857;-3.7157142857142857;-5.140000000000001;-8.540000000000001;-8.981428571428571;-2.222857142857143;-7.577142857142857;-7.594285714285713;-8.861428571428572;-3.4085714285714284;-10.47;-14.235714285714286;-4.491428571428572;-6.969285714285713;-10.045714285714284;-15.792857142857144;-6.011428571428572;-10.264285714285714;-23.197142857142858;-5.312857142857142;-8.528571428571428;-4.92;-7.065714285714286;-3.787142857142857;-4.365714285714286;-13.06;-2.8414285714285716;-5.3914285714285715;-3.0585714285714287;-5.282857142857142;-5.839999999999999;-6.18;-1.8457142857142856;-2.345714285714286;-6.635714285714286;-10.285714285714286;-9.338571428571429
2012-09-09;-8.357142857142858;-2.2471428571428573;-14.464285714285714;-4.1657142857142855;-3.762857142857143;-5.314285714285715;-8.607142857142858;-9.074285714285713;-2.274285714285714;-7.7057142857142855;-7.659999999999999;-9.102857142857143;-3.4585714285714286;-10.52;-14.304285714285713;-4.561428571428571;-7.209999999999999;-10.16;-16.287142857142857;-6.058571428571428;-10.524285714285714;-23.3;-5.38;-8.607142857142858;-5.0442857142857145;-7.224285714285714;-3.815714285714286;-4.472857142857143;-13.161428571428571;-2.934285714285714;-5.541428571428571;-3.1271428571428572;-5.3500000000000005;-5.911428571428571;-6.215714285714285;-1.86;-2.35;-6.798571428571429;-10.43857142857143;-9.434285714285716
2012-09-16;-8.414285714285715;-2.2785714285714285;-14.6;-4.55;-3.8114285714285714;-5.474285714285714;-8.63857142857143;-9.16;-2.3214285714285716;-7.805714285714286;-7.722857142857143;-9.35;-3.517142857142857;-10.554285714285713;-14.357142857142858;-4.644285714285714;-7.281428571428571;-10.257142857142856;-16.605714285714285;-6.101428571428571;-10.691428571428572;-23.397142857142857;-5.45;-8.701428571428572;-5.152857142857143;-7.357142857142857;-3.834285714285714;-4.567142857142857;-13.265714285714285;-3.0285714285714285;-5.684285714285714;-3.2014285714285715;-5.42;-5.985714285714286;-6.247142857142857;-1.8728571428571428;-2.3328571428571427;-6.937142857142858;-10.585714285714285;-9.518571428571429
