date_mesure,B,C,A,D,E
2011-01-27,-0.5381294836472852,0.29720645970401927,0.6115592116415848,0.3293397037767709,-0.7456035518760269
2011-02-03,-0.6379470450173901,0.012284974855943716,0.4545402111027722,0.30111344709559984,-0.8666861217202664
2011-02-10,-0.6222566979862124,-0.17985979253893802,0.3481173891100281,0.39931939991507914,-0.8396030161424495
2011-02-17,-0.6945716221001496,-0.2258632157314985,0.2130704924901934,0.39568711489206454,-0.5705970008126007
2011-02-24,-0.7300962343433554,-0.006637135806562201,0.16926507960254233,0.40722895032564976,-0.3014832513136382
2011-03-03,-0.729381437217323,0.0003516108110464197,0.1288843849623603,0.4222987052718885,-0.2485098067771076
2011-03-10,-0.6596926057574618,-0.1363809320492107,0.10289740832601826,0.49767801695593794,-0.3064690983520408
2011-03-17,-0.7533224364872402,-0.07088650101448113,0.06003350479760938,0.41528354944757395,-0.2441009909308893
2011-03-24,-0.7091045103241761,-0.19793104426485458,0.030506003758158068,0.45909198089728054,-0.0883590339780353
2011-03-31,-0.746387659212077,-0.09423541946894824,-0.01731083992725016,0.3756925302668038,0.2543897342650834
2011-04-07,-0.756521900334723,-0.26248258834214444,-0.09828309227491405,0.36592689223390235,0.45553976519582867
2011-04-14,-0.7571148384737401,-0.48293044993237794,-0.18018625357714946,0.3169172464320436,0.3848835053962422
2011-04-21,-0.8307573325142148,-0.640262601695071,-0.271112051731405,0.2538259598569324,0.31755665642302383
2011-04-28,-0.8522820649486194,-0.7293006221122115,-0.36634734802323676,0.17036349743511559,0.3325793194830674
2011-05-05,-0.9773661925403645,-0.8836641809413732,-0.4897243116022303,0.02844562374745685,0.5209947096187834
2011-05-12,-1.05479194730617,-0.9316742885108198,-0.5972060506722991,-0.0007806209879568371,0.6385376838404451
2011-05-19,-1.1123439708347527,-1.0209229848390193,-0.6895134135420353,-0.07484897893649267,0.7856514036171081
2011-05-26,-1.1556776445080965,-1.1113466615322605,-0.7766719023583712,-0.13742754066847784,0.865680848245118
2011-06-02,-1.1789389685652492,-1.0697217891494095,-0.8349393645751864,-0.16362119828624,0.9222157103485416
2011-06-09,-1.2182364840012285,-1.0573788523582308,-0.9092564261669045,-0.2346177999666259,0.9644887076702124
2011-06-16,-1.2254999501718395,-1.1023778385212852,-0.975706152596414,-0.26356818335249077,0.9501458703175649
