date_mesure;05068X0028_SP010;04514X0018_01;04808X0027_N11;04555X0093_F1;05078X0040_PZN1;06101X0202_SP1;03922X0027_S1;03555X6010_PZ1;03201X6016_PZ2;05086X0065_EL33;04518X0044_F3;05078X0041_PZN3;03593X0017_PZ14;04818X0544_PZ34;06074X0096_F4;03567X0041_PZ4;04513X0085_PZ5;03554X0029_PZ5;04193X0022_S2-6;02854X0024_PZ6;02507X0615_PZ6;04502X0043_SGB7;05334X0011_SF7;03207X0603_PZ7;04502X0044_SGB8;04202X0013_S9;05088X0134_B;06094X0181_F;04248X0022_F;04217X0003_F;05863X0203_F;04553X0023_F;04242X0053_F;04225X0014_F;05068X0054_F;04856X0084_F;05625X0036_F;05612X0007_F;05366X0035_PIEZO;04854X0296_P;05092X0009_P;04558X0072_AEP;05866X0091_SR;05858X0203_S;05865X0126_S;06102X0620_PZ;05103X0321_PZ;04532X0051_PZ;05082X0181_PZ;04851X0091_PZ;03195X0513_PZ;03564X0063_PZ;05086X0134_PZ;03904X0064_PZ;04562X0074_PZ;05857X0145_PZ;05123X0545_PZ;04838X0175_PZ;04541X0016_PZ;03925X0017_PZ;05854X0047_PZ;04854X0257_PZ;04855X0077_PZ;04231X0089_PZ
2015-02-22;1.8630357142857141;-0.25142857142857145;-1.9928571428571427;-3.2842857142857147;-0.9299999999999999;-5.562857142857142;-6.275714285714286;-2.165714285714286;-1.7042857142857142;-2.4285714285714284;-1.1528571428571428;-0.9557142857142857;-19.46;-0.9142857142857144;-2.3771428571428572;-3.654285714285714;-2.6714285714285713;-9.51142857142857;-1.4614285714285715;-6.238571428571428;-2.5614285714285714;-1.587142857142857;-1.0257142857142856;-1.9057142857142857;-2.18;-1.5957142857142856;-1.9657142857142857;-2.75;-12.335714285714285;-3.8728571428571428;-41.50142857142857;-3.217142857142857;-37.271428571428565;-2.475714285714286;2.807142857142857;-6.231428571428571;-87.48142857142857;-42.60285714285715;-72.22857142857143;-1.8342857142857143;-2.052857142857143;-12.844285714285714;-20.32857142857143;-14.129999999999999;-3.1128571428571425;-2.96;-5.197142857142857;-1.112;-1.5628571428571427;-16.251428571428573;-4.145714285714286;-2.762857142857143;-1.2614285714285713;-4.557142857142857;-6.8742857142857146;-3.0100000000000002;-14.294285714285715;-4.182857142857143;-3.2914285714285714;-13.657142857142857;-46.87285714285714;-2.557142857142857;-3.4114285714285715;-6.728571428571429
2015-02-26;1.8585714285714285;-0.25928571428571434;-1.9749999999999999;-3.2271428571428578;-0.9007142857142856;-5.671428571428571;-6.236428571428572;-2.025714285714286;-1.5535714285714284;-2.2207142857142856;-1.145;-0.9;-19.457857142857144;-0.9035714285714287;-2.3985714285714286;-3.0564285714285715;-2.571428571428571;-9.339285714285715;-1.2542857142857144;-5.938571428571429;-2.3207142857142857;-1.5157142857142856;-1.0714285714285714;-1.762857142857143;-2.14;-1.6099999999999999;-1.8307142857142855;-2.8164285714285713;-12.309285714285714;-3.7871428571428574;-41.55142857142857;-3.2135714285714285;-37.28071428571428;-2.475714285714286;2.7507142857142854;-6.226428571428572;-87.88714285714285;-42.658571428571435;-72.31142857142856;-1.7707142857142857;-1.9592857142857145;-12.850714285714286;-21.11785714285714;-15.28;-3.2614285714285716;-3.137857142857143;-5.019285714285714;-1.1224285714285713;-1.5;-16.244999999999997;-4.029285714285715;-2.595;-1.209285714285714;-4.4521428571428565;-6.832142857142857;-3.1;-14.255714285714287;-4.1414285714285715;-3.2592857142857143;-13.619285714285713;-47.11642857142857;-2.5371428571428574;-3.390714285714286;-6.643571428571429
2015-03-01;1.8914285714285715;-0.2671428571428572;-1.957142857142857;-3.1700000000000004;-0.8714285714285713;-5.78;-6.1971428571428575;-1.8857142857142857;-1.4028571428571428;-2.012857142857143;-1.137142857142857;-0.8442857142857143;-19.455714285714286;-0.8928571428571429;-2.4200000000000004;-2.4585714285714286;-2.4714285714285715;-9.167142857142858;-1.0471428571428572;-5.638571428571429;-2.08;-1.4442857142857142;-1.1171428571428572;-1.6199999999999999;-2.1;-1.6242857142857143;-1.6957142857142855;-2.882857142857143;-12.282857142857143;-3.7014285714285715;-41.60142857142858;-3.21;-37.29;-2.475714285714286;2.6942857142857144;-6.221428571428572;-88.29285714285713;-42.714285714285715;-72.39428571428572;-1.707142857142857;-1.8657142857142859;-12.857142857142858;-21.907142857142855;-16.43;-3.41;-3.315714285714286;-4.841428571428572;-1.1328571428571428;-1.437142857142857;-16.238571428571426;-3.912857142857143;-2.4271428571428575;-1.157142857142857;-4.347142857142857;-6.79;-3.19;-14.217142857142857;-4.1;-3.2271428571428573;-13.581428571428571;-47.36;-2.5171428571428573;-3.37;-6.558571428571428
2015-03-05;1.9242857142857142;-0.31285714285714283;-1.9892857142857143;-2.7664285714285715;-0.8871428571428571;-5.798571428571428;-6.107142857142858;-1.939285714285714;-1.4564285714285714;-1.9757142857142858;-1.15;-0.9142857142857144;-19.486428571428572;-0.935;-2.422857142857143;-2.395;-2.555;-9.087857142857143;-1.2142857142857144;-5.507857142857143;-2.1135714285714284;-1.4821428571428572;-1.0464285714285715;-1.6642857142857141;-2.1571428571428575;-1.6735714285714285;-1.6949999999999998;-2.9135714285714287;-12.27;-3.6407142857142856;-41.60357142857143;-3.206428571428572;-37.28071428571428;-2.5614285714285714;2.7157142857142857;-6.219285714285715;-88.30357142857142;-42.662142857142854;-72.425;-1.6685714285714286;-1.8800000000000001;-12.848571428571429;-23.090714285714284;-16.767857142857146;-3.4942857142857147;-3.357857142857143;-4.933571428571429;-1.1785714285714286;-1.4785714285714286;-16.237142857142857;-3.8814285714285717;-2.423571428571429;-1.2392857142857143;-4.3149999999999995;-6.742857142857143;-3.2885714285714287;-14.197857142857142;-4.112857142857143;-3.2292857142857145;-13.60142857142857;-47.79785714285714;-2.4850000000000003;-3.354285714285714;-6.507857142857143
2015-03-08;2.0028571428571427;-0.35857142857142854;-2.0214285714285714;-2.3628571428571425;-0.9028571428571429;-5.817142857142857;-6.017142857142857;-1.9928571428571427;-1.51;-1.9385714285714286;-1.1628571428571426;-0.9842857142857143;-19.517142857142858;-0.9771428571428571;-2.4257142857142857;-2.3314285714285714;-2.638571428571429;-9.008571428571429;-1.3814285714285715;-5.377142857142857;-2.1471428571428572;-1.52;-0.9757142857142858;-1.7085714285714286;-2.2142857142857144;-1.7228571428571429;-1.6942857142857142;-2.9442857142857144;-12.257142857142856;-3.5799999999999996;-41.605714285714285;-3.2028571428571433;-37.271428571428565;-2.6471428571428572;2.737142857142857;-6.217142857142858;-88.31428571428572;-42.61;-72.45571428571428;-1.6300000000000001;-1.8942857142857144;-12.84;-24.274285714285714;-17.10571428571429;-3.5785714285714287;-3.4;-5.025714285714286;-1.2242857142857144;-1.52;-16.235714285714284;-3.85;-2.4200000000000004;-1.3214285714285714;-4.282857142857143;-6.695714285714286;-3.3871428571428575;-14.178571428571429;-4.1257142857142854;-3.2314285714285718;-13.62142857142857;-48.23571428571428;-2.4528571428571433;-3.3385714285714285;-6.457142857142857
2015-03-12;2.0814285714285714;-0.43642857142857144;-2.017142857142857;-2.6264285714285713;-0.9385714285714286;-5.732857142857142;-5.904285714285714;-2.1185714285714283;-1.6207142857142856;-2.01;-1.182142857142857;-1.0757142857142856;-19.485;-1.0435714285714286;-2.383571428571429;-2.885;-2.758571428571429;-8.955;-1.64;-5.545;-2.343571428571429;-1.58;-0.8992857142857142;-1.7964285714285713;-2.285;-1.7735714285714286;-1.762142857142857;-2.8950000000000005;-12.22285714285714;-3.5307142857142857;-41.57928571428572;-3.1950000000000003;-37.21428571428571;-2.69;2.815;-6.211428571428572;-88.06071428571428;-42.53785714285714;-72.50142857142856;-1.6614285714285715;-1.9171428571428573;-12.827142857142857;-24.107142857142854;-16.739285714285714;-3.533571428571429;-3.2685714285714287;-5.231428571428571;-1.2592857142857143;-1.5692857142857144;-16.229999999999997;-3.8714285714285714;-2.5100000000000002;-1.4;-4.223571428571429;-6.632142857142858;-3.357857142857143;-14.176428571428572;-4.138571428571429;-3.2271428571428578;-13.609285714285715;-48.51;-2.447857142857143;-3.3607142857142858;-6.399285714285714
2015-03-15;2.057142857142857;-0.5142857142857143;-2.012857142857143;-2.89;-0.9742857142857143;-5.648571428571429;-5.791428571428571;-2.244285714285714;-1.7314285714285713;-2.0814285714285714;-1.2014285714285715;-1.167142857142857;-19.452857142857145;-1.11;-2.3414285714285716;-3.4385714285714286;-2.8785714285714286;-8.901428571428571;-1.8985714285714284;-5.7128571428571435;-2.54;-1.6400000000000001;-0.8228571428571428;-1.8842857142857141;-2.3557142857142854;-1.8242857142857143;-1.83;-2.845714285714286;-12.188571428571427;-3.4814285714285718;-41.55285714285714;-3.1871428571428573;-37.15714285714286;-2.7328571428571427;2.892857142857143;-6.2057142857142855;-87.80714285714285;-42.465714285714284;-72.54714285714286;-1.6928571428571428;-1.94;-12.814285714285715;-23.939999999999998;-16.372857142857143;-3.488571428571429;-3.1371428571428575;-5.437142857142858;-1.2942857142857143;-1.6185714285714285;-16.224285714285713;-3.892857142857143;-2.6;-1.4785714285714284;-4.164285714285714;-6.568571428571429;-3.3285714285714287;-14.174285714285714;-4.151428571428572;-3.2228571428571433;-13.597142857142858;-48.784285714285716;-2.442857142857143;-3.382857142857143;-6.341428571428572
2015-03-19;2.032857142857143;-0.562857142857143;-2.0064285714285717;-3.2392857142857143;-0.9942857142857142;-5.590714285714286;-5.744999999999999;-2.373571428571428;-1.8285714285714285;-2.145;-1.2157142857142857;-1.2121428571428572;-19.46;-1.1385714285714286;-2.272857142857143;-3.8985714285714286;-2.987857142857143;-8.915714285714285;-2.0428571428571427;-5.927142857142858;-2.7057142857142855;-1.687857142857143;-0.8194285714285714;-1.9728571428571429;-2.399285714285714;-1.8849999999999998;-1.9014285714285715;-2.7871428571428574;-12.177142857142856;-3.4464285714285716;-41.525000000000006;-3.1792857142857143;-37.13785714285714;-2.797142857142857;2.9292857142857143;-6.204285714285714;-87.46214285714285;-42.38785714285714;-72.54785714285714;-1.73;-2.0042857142857144;-12.805;-23.009285714285713;-15.838571428571427;-3.3942857142857146;-3.037857142857143;-5.586428571428572;-1.322857142857143;-1.6464285714285714;-16.224285714285713;-3.9471428571428566;-2.7135714285714285;-1.5307142857142857;-4.161428571428571;-6.565;-3.2357142857142858;-14.172142857142857;-4.1728571428571435;-3.2235714285714288;-13.58357142857143;-48.80428571428571;-2.4535714285714287;-3.4164285714285714;-6.323571428571428
2015-03-22;2.077857142857143;-0.6114285714285714;-2.0;-3.5885714285714285;-1.0142857142857142;-5.532857142857144;-5.698571428571428;-2.5028571428571427;-1.9257142857142857;-2.2085714285714286;-1.23;-1.2571428571428573;-19.467142857142857;-1.167142857142857;-2.204285714285714;-4.3585714285714285;-3.097142857142857;-8.93;-2.1871428571428573;-6.1414285714285715;-2.8714285714285714;-1.7357142857142858;-0.8160000000000001;-2.0614285714285714;-2.442857142857143;-1.9457142857142855;-1.9728571428571429;-2.7285714285714286;-12.165714285714285;-3.4114285714285715;-41.49714285714286;-3.1714285714285713;-37.11857142857143;-2.8614285714285717;2.9657142857142853;-6.202857142857143;-87.11714285714287;-42.31;-72.54857142857144;-1.7671428571428573;-2.0685714285714285;-12.795714285714284;-22.07857142857143;-15.304285714285713;-3.3000000000000003;-2.9385714285714286;-5.735714285714286;-1.3514285714285716;-1.6742857142857142;-16.224285714285713;-4.001428571428571;-2.827142857142857;-1.582857142857143;-4.158571428571428;-6.561428571428571;-3.142857142857143;-14.17;-4.194285714285714;-3.224285714285714;-13.570000000000002;-48.824285714285715;-2.4642857142857144;-3.4499999999999997;-6.305714285714286
2015-03-26;2.1228571428571428;-0.6178571428571429;-1.9828571428571429;-3.7471428571428573;-1.0292857142857144;-5.472857142857143;-5.687142857142858;-2.5928571428571425;-2.0064285714285717;-2.227857142857143;-1.2264285714285714;-1.270714285714286;-19.458571428571428;-1.162142857142857;-2.1557142857142857;-4.682142857142857;-3.16;-8.958571428571428;-2.2507142857142854;-6.281428571428572;-3.173571428571429;-1.7678571428571428;-0.8001428571428573;-2.12;-2.4628571428571426;-1.9949999999999997;-2.019285714285714;-2.6707142857142854;-12.147142857142857;-3.3857142857142857;-41.48285714285714;-3.1642857142857146;-37.06857142857143;-2.882857142857143;2.96;-6.203571428571429;-86.84428571428572;-42.24142857142857;-72.59714285714286;-1.7692857142857146;-2.105;-12.788571428571428;-21.255000000000003;-14.372857142857143;-3.185714285714286;-2.895;-5.742142857142857;-1.3142857142857145;-1.687142857142857;-16.22357142857143;-4.055;-2.905;-1.6092857142857144;-4.175;-6.536428571428571;-3.0685714285714285;-14.137857142857143;-4.203571428571429;-3.2178571428571425;-13.537142857142857;-48.808571428571426;-2.46;-3.465;-6.290000000000001
2015-03-29;2.1007142857142855;-0.6242857142857143;-1.9657142857142857;-3.9057142857142857;-1.0442857142857143;-5.412857142857143;-5.675714285714286;-2.682857142857143;-2.087142857142857;-2.2471428571428573;-1.2228571428571429;-1.2842857142857143;-19.45;-1.157142857142857;-2.107142857142857;-5.005714285714285;-3.222857142857143;-8.987142857142857;-2.314285714285714;-6.421428571428572;-3.475714285714286;-1.8;-0.7842857142857144;-2.1785714285714284;-2.4828571428571427;-2.044285714285714;-2.065714285714286;-2.6128571428571425;-12.12857142857143;-3.36;-41.46857142857142;-3.1571428571428575;-37.01857142857143;-2.9042857142857144;2.954285714285714;-6.204285714285715;-86.57142857142857;-42.17285714285714;-72.64571428571428;-1.7714285714285716;-2.1414285714285715;-12.781428571428572;-20.431428571428572;-13.441428571428572;-3.0714285714285716;-2.8514285714285714;-5.748571428571429;-1.2771428571428571;-1.7;-16.222857142857144;-4.1085714285714285;-2.9828571428571427;-1.6357142857142857;-4.191428571428571;-6.511428571428572;-2.994285714285714;-14.105714285714285;-4.2128571428571435;-3.2114285714285713;-13.504285714285714;-48.792857142857144;-2.455714285714286;-3.48;-6.274285714285715
