date_mesure;02211X0023_CHE101;02582X0268_P11;02582X0208_F1;01541X0038_F1;01825X0091_P1;01258X0020_S1;01516X0021_S1;01812X0002_S1;02203X0002_S1;01853X0002_S1;02206X0022_S1;02943X0013_S1;01551X1013_S1;01516X0004_S1;02931X0008_S1;02603X0009_S1;02566X0019_S1;01834A0153_PZ1;02583X0065_P12;01837A0096_F2;02182X0004_P2;02594X0094_P13;02596X0045_P14;02606X0112_G5;02215X0049_P5;02218X0033_P6;02584X0024_FCH7;01522X0069_PZ2008;02184X0099_F48;02207X0069_P8;02208X0036_FCH9;02578X0043_F;02936X5004_F;01531X0047_F;02173X0008_F;01534X0049_F;02565X0019_P
2017-08-10;-61.160000000000004;-29.002857142857145;-45.0;-38.074285714285715;-7.661428571428572;-19.68857142857143;-20.542857142857144;-11.688571428571427;-44.042857142857144;-5.0528571428571425;-41.21142857142858;-18.267142857142858;-31.244285714285716;-20.517142857142858;-41.23857142857143;-14.335714285714285;-22.254285714285714;-8.164285714285715;-47.09571428571429;-1.0885714285714285;-38.34428571428571;-29.127142857142854;-26.76571428571429;-3.1114285714285717;-32.52142857142857;-15.272857142857143;-39.387142857142855;-13.838571428571429;-39.05714285714286;-41.49428571428571;-42.21857142857142;-30.732857142857142;-46.19;18.062857142857144;-19.53142857142857;-50.76;-21.24142857142857
2017-08-17;-61.152857142857144;-28.964285714285715;-44.94571428571429;-38.074285714285715;-7.691428571428572;-19.708571428571428;-20.555714285714284;-11.737142857142857;-43.64;-5.007142857142857;-41.212857142857146;-18.27;-31.247142857142855;-20.524285714285718;-41.22571428571428;-14.492857142857144;-22.16857142857143;-8.164285714285715;-47.06571428571429;-0.937142857142857;-38.33571428571429;-29.14428571428571;-26.34857142857143;-3.067142857142857;-32.55;-15.388571428571428;-39.42285714285714;-14.087142857142856;-39.05142857142857;-41.51285714285715;-42.23428571428571;-30.68;-46.21714285714285;18.09;-19.524285714285718;-50.77285714285714;-21.16
2017-08-24;-61.13;-28.96857142857143;-44.90857142857143;-38.06714285714286;-7.714285714285714;-19.74857142857143;-20.57;-11.787142857142856;-43.642857142857146;-4.859999999999999;-41.21142857142858;-18.277142857142856;-31.25;-20.53;-41.21857142857142;-14.645714285714286;-22.035714285714285;-8.167142857142858;-47.05571428571428;-0.6957142857142857;-38.31428571428571;-29.15285714285714;-26.535714285714285;-3.051428571428571;-32.57714285714286;-15.507142857142856;-39.44285714285714;-14.345714285714285;-39.01571428571429;-41.52571428571429;-42.25428571428571;-30.635714285714283;-46.23428571428571;18.142857142857142;-19.518571428571427;-50.76;-21.095714285714287
2017-08-31;-61.13;-28.981428571428573;-44.95285714285715;-38.09142857142857;-7.76;-19.87;-20.59;-11.84142857142857;-43.784285714285716;-4.974285714285714;-41.27285714285714;-18.282857142857143;-31.26571428571429;-20.542857142857144;-41.222857142857144;-14.819999999999999;-22.080000000000002;-8.17;-47.082857142857144;-0.4714285714285714;-38.34285714285714;-29.21;-26.635714285714283;-3.0628571428571427;-32.612857142857145;-15.657142857142857;-39.51428571428572;-14.597142857142858;-39.05857142857143;-41.59428571428572;-42.33571428571429;-30.642857142857142;-46.26142857142857;18.16;-19.525714285714287;-50.798571428571435;-21.064285714285713
2017-09-07;-61.074285714285715;-28.914285714285715;-44.84571428571429;-38.050000000000004;-7.747142857142856;-19.91142857142857;-20.59142857142857;-11.837142857142856;-43.74;-4.957142857142857;-41.18857142857143;-18.28;-31.24285714285714;-20.53857142857143;-41.19714285714286;-14.968571428571428;-22.044285714285714;-8.139999999999999;-46.99142857142857;-0.20714285714285713;-38.27428571428572;-29.157142857142855;-26.115714285714287;-3.044285714285714;-32.605714285714285;-15.64;-39.45285714285715;-14.801428571428572;-38.949999999999996;-41.55857142857143;-42.31714285714286;-30.56714285714286;-46.25857142857143;18.287142857142857;-19.50857142857143;-50.707142857142856;-21.017142857142858
2017-09-14;-61.06428571428571;-28.864285714285717;-44.91857142857143;-38.107142857142854;-7.788571428571429;-19.572857142857142;-20.604285714285716;-11.865714285714287;-43.57714285714286;-4.271428571428571;-41.25428571428571;-18.291428571428572;-31.282857142857146;-20.555714285714284;-41.21714285714285;-15.102857142857143;-22.01571428571429;-8.001428571428571;-46.737142857142864;0.24000000000000002;-38.36;-29.27857142857143;-24.87142857142857;-2.822857142857143;-32.59428571428571;-15.132857142857144;-39.57714285714286;-14.897142857142857;-39.06142857142857;-41.59285714285714;-42.285714285714285;-30.617142857142856;-46.29;18.285714285714285;-19.518571428571427;-50.815714285714286;-21.004285714285714
2017-09-21;-61.09285714285715;-28.905714285714286;-44.91142857142857;-38.107142857142854;-7.8260000000000005;-19.395714285714284;-20.611428571428572;-11.915714285714285;-43.892857142857146;-4.569999999999999;-41.237142857142864;-18.294285714285714;-31.28142857142857;-20.56714285714286;-41.20857142857143;-15.278571428571428;-22.020000000000003;-7.99;-46.80285714285714;0.9314285714285714;-38.35;-29.302857142857142;-25.608571428571427;-2.9842857142857144;-32.527142857142856;-15.057142857142859;-39.51;-14.959999999999999;-39.097142857142856;-41.58285714285715;-42.31;-30.574285714285715;-46.30142857142857;18.318571428571428;-19.53142857142857;-50.86857142857143;-20.987142857142857
2017-09-28;-61.08142857142857;-28.852857142857143;-44.864285714285714;-38.11;-7.851428571428571;-19.63;-20.622857142857146;-11.975714285714286;-43.95142857142857;-4.148571428571429;-41.22571428571428;-18.294285714285714;-31.285714285714285;-20.571428571428573;-41.205714285714286;-15.455714285714285;-21.981428571428573;-8.045714285714286;-46.78142857142858;0.937142857142857;-38.34285714285714;-29.318571428571428;-25.724285714285713;-3.0;-32.52428571428572;-14.994285714285713;-39.45285714285715;-15.072857142857144;-39.08571428571429;-41.56714285714286;-42.279999999999994;-30.554285714285715;-46.31142857142857;18.374285714285715;-19.53142857142857;-50.87714285714286;-20.967142857142857
2017-10-05;-61.074285714285715;-28.82428571428571;-44.87;-38.107142857142854;-7.875714285714286;-19.7;-20.63;-12.022857142857143;-44.04;-3.7785714285714285;-41.19142857142857;-18.295714285714286;-31.285714285714285;-20.571428571428573;-41.19714285714286;-15.637142857142859;-21.974285714285713;-8.037142857142857;-46.74142857142857;0.7342857142857142;-38.332857142857144;-29.335714285714285;-25.858571428571427;-2.992857142857143;-32.465714285714284;-14.865714285714287;-39.40857142857143;-14.932857142857143;-39.08142857142857;-41.52285714285715;-42.23714285714285;-30.518571428571427;-46.31571428571429;18.424285714285713;-19.535714285714285;-50.88285714285714;-20.95
2017-10-12;-61.06857142857143;-28.835714285714285;-44.87;-38.121428571428574;-7.905714285714287;-19.527142857142856;-20.645714285714284;-12.087142857142856;-44.16857142857143;-4.25;-41.201428571428565;-18.29714285714286;-31.29;-20.571428571428573;-41.19714285714286;-15.819999999999999;-21.96142857142857;-8.084285714285715;-46.777142857142856;0.5128571428571428;-38.33428571428572;-29.361428571428572;-26.011428571428574;-2.968571428571429;-32.45142857142857;-15.044285714285715;-39.38857142857143;-14.805714285714286;-39.08;-41.54142857142857;-42.284285714285716;-30.487142857142857;-46.32142857142857;18.48;-19.53857142857143;-50.90428571428571;-20.934285714285714
