date_mesure;09145X0057_N210;09145X0059_N340;09662X0038_F41;09964X0020_PZ1;08688X0023_PZ1;09665X0073_203;09437X0036_23P
2011-07-03;-3.6207142857142856;-4.055714285714286;-5.077142857142857;-29.775714285714287;-3.1442857142857146;-4.154285714285714;-3.912857142857143
2011-07-07;-3.674285714285714;-4.127142857142857;-5.047142857142857;-29.431428571428572;-3.149285714285714;-4.225;-3.7942857142857145
2011-07-10;-3.6864285714285714;-4.198571428571428;-5.017142857142857;-29.087142857142858;-3.154285714285714;-4.295714285714285;-3.6757142857142857
2011-07-14;-3.698571428571429;-4.167857142857143;-5.037142857142857;-28.907857142857143;-3.1449999999999996;-4.33;-3.6542857142857144
2011-07-17;-3.697857142857143;-4.137142857142857;-5.057142857142857;-28.728571428571428;-3.1357142857142857;-4.364285714285715;-3.632857142857143
2011-07-21;-3.6971428571428575;-4.047142857142857;-5.104285714285714;-28.692142857142855;-3.117857142857143;-4.300714285714286;-3.712142857142857
2011-07-24;-3.7228571428571433;-3.957142857142857;-5.151428571428572;-28.655714285714286;-3.1;-4.2371428571428575;-3.7914285714285714
2011-07-28;-3.7485714285714287;-3.9849999999999994;-5.174285714285714;-28.740357142857142;-3.11125;-4.242142857142857;-3.5385714285714283
2011-07-31;-3.76;-4.0128571428571425;-5.1971428571428575;-28.825;-3.1225;-4.247142857142857;-3.2857142857142856
2011-08-04;-3.7714285714285714;-4.085;-5.202857142857143;-28.84;-3.129375;-4.292142857142857;-3.3221428571428566
2011-08-07;-3.7407142857142857;-4.1571428571428575;-5.208571428571429;-28.855;-3.13625;-4.337142857142857;-3.358571428571428
2011-08-11;-3.71;-4.077857142857143;-5.163571428571428;-28.87;-3.143125;-4.232857142857142;-3.4878571428571425
2011-08-14;-3.739285714285714;-3.9985714285714287;-5.118571428571428;-28.884999999999998;-3.1500000000000004;-4.128571428571428;-3.617142857142857
2011-08-18;-3.7685714285714282;-4.048571428571428;-5.139285714285714;-28.9;-3.1568750000000003;-4.177142857142856;-3.682857142857143
2011-08-21;-3.7835714285714284;-4.098571428571428;-5.160000000000001;-28.915;-3.1637500000000003;-4.225714285714285;-3.7485714285714287
2011-08-25;-3.7985714285714285;-4.124285714285714;-5.145714285714286;-28.93;-3.1706250000000002;-4.285714285714286;-3.5
2011-08-28;-3.7992857142857144;-4.15;-5.131428571428572;-28.945;-3.1775;-4.345714285714286;-3.251428571428572
2011-09-01;-3.8000000000000003;-4.135714285714286;-5.158571428571428;-29.17892857142857;-3.19375;-4.377857142857144;-3.397857142857143
2011-09-04;-3.775714285714286;-4.121428571428572;-5.185714285714285;-29.412857142857142;-3.21;-4.41;-3.544285714285714
2011-09-08;-3.7514285714285713;-4.065714285714286;-5.222857142857142;-29.364285714285714;-3.2157142857142857;-4.350714285714286;-3.602142857142857
2011-09-11;-3.7507142857142854;-4.01;-5.26;-29.315714285714286;-3.2214285714285715;-4.291428571428571;-3.66
2011-09-15;-3.75;-4.010714285714286;-5.277857142857142;-29.63357142857143;-3.225;-4.326428571428571;-3.625
2011-09-18;-3.753571428571428;-4.011428571428572;-5.295714285714285;-29.951428571428572;-3.2285714285714286;-4.361428571428571;-3.59
2011-09-22;-3.7571428571428567;-4.003571428571428;-5.362142857142857;-29.745714285714286;-3.2192857142857143;-4.419285714285714;-3.625
2011-09-25;-3.7564285714285712;-3.9957142857142856;-5.428571428571429;-29.54;-3.21;-4.477142857142857;-3.66
2011-09-29;-3.755714285714286;-4.009285714285714;-5.453571428571429;-29.474285714285713;-3.2350000000000003;-4.5164285714285715;-3.802142857142857
2011-10-02;-3.7528571428571427;-4.022857142857143;-5.478571428571429;-29.40857142857143;-3.2600000000000002;-4.555714285714286;-3.9442857142857144
2011-10-06;-3.75;-4.0285714285714285;-5.493571428571428;-29.452857142857145;-3.2685714285714287;-4.571428571428571;-3.991428571428571
2011-10-09;-3.7464285714285714;-4.034285714285715;-5.508571428571429;-29.497142857142858;-3.2771428571428567;-4.587142857142857;-4.038571428571428
2011-10-13;-3.742857142857143;-4.037142857142857;-5.536428571428572;-29.68285714285714;-3.272142857142857;-4.609999999999999;-4.003571428571428
2011-10-16;-3.7249999999999996;-4.04;-5.564285714285715;-29.868571428571425;-3.2671428571428573;-4.632857142857143;-3.968571428571429
2011-10-20;-3.707142857142857;-4.005;-5.567857142857143;-29.82071428571428;-3.2642857142857142;-4.694285714285714;-4.067142857142857
2011-10-23;-3.6792857142857143;-3.9699999999999998;-5.571428571428571;-29.77285714285714;-3.261428571428571;-4.755714285714285;-4.1657142857142855
2011-10-27;-3.6514285714285717;-3.939285714285714;-5.605;-28.940714285714286;-3.190714285714286;-4.725;-4.174285714285714
2011-10-30;-3.0664285714285717;-3.9085714285714284;-5.638571428571429;-28.108571428571427;-3.12;-4.694285714285714;-4.182857142857143
2011-11-03;-2.4814285714285718;-3.6399999999999997;-5.589285714285714;-27.894285714285715;-3.017142857142857;-4.399285714285714;-4.0964285714285715
2011-11-06;-2.2014285714285715;-3.3714285714285714;-5.54;-27.68;-2.914285714285714;-4.104285714285714;-4.01
2011-11-10;-1.9214285714285713;-2.8314285714285714;-5.15;-27.795;-2.9592857142857145;-3.1328571428571426;-3.8378571428571426
