date_mesure,A,F,E,B,D,C
2012-02-09,0.33340535041570507,0.004904945127968612,0.7665805375109835,-1.2540139448474588,-0.578158020880013,0.19410681233177812
2012-02-16,0.26047179350331756,-0.04618375849058804,0.6938899810024357,-1.2529689788061833,-0.6023000989502646,0.13900184693986425
2012-02-23,0.17501473134984,0.028459597770447896,0.7334410327332482,-1.265599045396119,-0.5902237273566455,0.10537721885100035
2012-03-01,0.08135353737919103,0.07002234023368774,0.7301476561995933,-1.2433135559134056,-0.6022343548497873,0.056008224398611015
2012-03-08,0.004610203307972183,0.08256164552426512,0.7288724744091566,-1.2466852222345548,-0.6372899789229014,0.0011558496861208967
2012-03-15,-0.045774066837493785,0.0927352519798807,0.7315384936330878,-1.2347978666063077,-0.6450198078808744,-0.04066323450652076
2012-03-22,-0.06625566306954957,0.10650661914307052,0.7519413956548326,-1.2447820559219571,-0.6673100095813642,-0.055366725948158974
2012-03-29,-0.16213646729707146,0.09155091248626296,0.7580195385548476,-1.2343896339202565,-0.6897750697583758,-0.11379442007815997
2012-04-05,-0.17363528876745807,0.09869476690516188,0.8552122273410661,-1.2350434188148347,-0.7272537270891989,-0.08415121828154229
2012-04-12,-0.11273550132941362,0.1130647244168739,0.8446242481742294,-1.2097502794773893,-0.7776288789281938,-0.04156209115167864
2012-04-19,0.20464902348731462,0.251845411374849,0.8924599825003484,-1.1248032251692839,-0.6758601811450918,0.2644879810162403
2012-04-26,1.1084862850296155,0.3857578980463946,0.9517548462538227,-0.9407644799400487,-0.3367129250833517,0.8209906118531289
2012-05-03,1.228264291693106,0.45091742072803803,0.9654177816907349,-0.8494744416090673,-0.04840676066260541,1.0075676497761643
2012-05-10,0.9219037666151029,0.3615907607371144,0.8722775891220664,-0.8757217452455444,-0.018687194525497608,0.8803945567326665
2012-05-17,0.7200155563268383,0.43168185250189095,0.9240366297460392,-0.7989360134206855,-0.008211574819656176,0.8315109637650571
2012-05-24,0.6042126512569435,0.3568607285399989,0.8615408406674983,-0.7925509554280992,-0.036461699508607615,0.7817792540515149
2012-05-31,0.3730809875032808,0.23170211101699545,0.7746437447405569,-0.8243684551641163,-0.07153318358537691,0.6572963825918294
2012-06-07,0.3260211306533327,0.2152402075134164,0.7583283912522486,-0.7886080176354977,-0.09767668877495211,0.6060581211540775
2012-06-14,0.3054898297558199,0.21437293474142538,0.7327921744104144,-0.8048361389426362,-0.12176856282933612,0.5450049180837143
2012-06-21,0.11024816693758918,0.034076336575027365,0.6807673683353075,-0.8365613287512412,-0.1757886687791524,0.4046550848862536
2012-06-28,-0.12631208532196408,-0.3908969295411168,0.6220420158498448,-0.9221511356759694,-0.32230580251334573,0.19643676943856309
2012-07-05,-0.22518887969611584,-0.6079203642695613,0.6415678555103186,-0.9468306651037248,-0.42545331285358556,0.09107817157752487
2012-07-12,-0.32755771786827315,-0.8068154789507589,0.5834304579598455,-1.0346302480606826,-0.5174014088934026,-0.07038555630706822
2012-07-19,-0.4851867406120802,-1.1543883650437508,0.5976128248311057,-1.1478350194262597,-0.6201665998804161,-0.21968889944597908
2012-07-26,-0.6589016966906424,-1.5122736464851934,0.5359920601639175,-1.2860124482667097,-0.7324448198237624,-0.3998168922462289
2012-08-02,-0.7813971675037112,-1.7464293551059853,0.4875319058426816,-1.380933839043195,-0.8277242558630461,-0.5248913451063333
2012-08-09,-0.9257959901082214,-1.9623600638481975,0.4151749664757616,-1.4727826546151923,-0.9257744852933848,-0.6828469589232392
2012-08-16,-1.0501192985404422,-2.09129357876062,0.36403408137538307,-1.57318271899162,-1.034480063561578,-0.8170196518439788
2012-08-23,-1.1481745508386378,-2.1105218027664643,0.27743668953671885,-1.5974607013888602,-1.111688808245701,-0.9459960228149361
2012-08-30,-1.2161941224121509,-2.0499653845106076,0.2030514108547976,-1.6103177625885905,-1.1332368547094167,-1.057340219280068
2012-09-06,-1.29315613804531,-2.0033480295875035,0.1387794225571275,-1.6359309672256221,-1.1643143079138771,-1.167570397127915
2012-09-13,-1.318906334580748,-1.813202769283303,0.11782161069498187,-1.64462005226633,-1.1413324186696916,-1.21808127584989
2012-09-20,-1.282481222891854,-1.6018504520659653,0.15277315212692866,-1.593147286257142,-1.155646544280577,-1.2302873113495827
2012-09-27,-1.1377067596727541,-1.365257060607461,0.12018124205996616,-1.5362527501323564,-1.1732303521200567,-1.1978263097287072
2012-10-04,-1.1481563663393772,-1.1977810411766938,0.09882320600090466,-1.4985068859589448,-1.1950325634677834,-1.236188341566258
2012-10-11,-0.9792475775340345,-1.0291549165733902,0.15843339510480514,-1.4572277959423694,-1.1951106914489829,-1.183223572413794
2012-10-18,-0.26486466120778734,-0.815173138130408,0.12034963901555207,-1.3816311580368985,-1.1114881511969137,-1.0183431228043744
2012-10-25,0.0026071254783001097,-0.6373975962711643,0.18971361545500298,-1.34169190148639,-1.0086661974214723,-0.8726290758055322
2012-11-01,0.3602810921483467,-0.5329044803718256,0.23689259667565465,-1.298129263013447,-0.8897849485054425,-0.7661071177307399
2012-11-08,0.5874199305392377,-0.4666703734062896,0.2827510362677256,-1.282334658361958,-0.7401221257687669,-0.5934128586185289
2012-11-15,0.4265809065260678,-0.34259875291003594,0.33086822780938235,-1.2605206089114518,-0.6928746768417999,-0.49866374896262716
2012-11-22,0.28281776927566055,-0.2770319174760653,0.31571837771416905,-1.2526974230978025,-0.6937474031417806,-0.4875349839002944
2012-11-29,0.3071657329186094,-0.2137760905023936,0.3499896039773044,-1.2383494733930283,-0.6893013948552451,-0.3920239868064861
2012-12-06,0.522818425630082,-0.12788803607595267,0.3245638517485561,-1.2048940720475776,-0.6069366159909498,-0.19545084864602752
2012-12-13,1.0740668713694832,0.03167389659316194,0.4247517011425317,-1.1113381171276993,-0.3784402698606827,0.1352824774323788
2012-12-20,1.4277023490613143,0.1512465160629679,0.41352075982742276,-1.0574538832143021,-0.09333040329419812,0.4624708636881992
2012-12-27,1.428523069519651,0.23593335325770537,0.42978369705361097,-1.0111805511641423,0.072516498527334,0.5294331607133034
2013-01-03,1.2718951318024656,0.28484838668514245,0.37644650575240335,-0.9795874498842893,0.14448393504449747,0.5455510013998255
2013-01-10,1.1249739982500229,0.4341014474229753,0.5221845411741851,-0.8745978471147894,0.20845585269068395,0.65065220437438
2013-01-17,1.5150788116400928,0.6926967418511816,0.6384033719598536,-0.6534621981661363,0.4843398213096958,1.1001680296706349
2013-01-24,1.7390418537564745,0.7971710942771932,0.5532513272199333,-0.5590425992452601,0.8530499279541475,1.3564791276016945
2013-01-31,1.8203069504389475,0.8933847531825271,0.5566041609444812,-0.3689449639495779,1.101331394853082,1.460496500948524
2013-02-07,1.8996727095095902,1.0169339954479657,0.6515729306145622,-0.18708310240695258,1.331716008522834,1.6709911406619122
2013-02-14,1.7302568381691523,1.0339933347559906,0.6286342244981179,-0.06511389198748363,1.5243883646030563,1.6884191701306095
2013-02-21,1.3648396375079757,1.0048477997413214,0.6343320325887396,-0.02888706587809997,1.507780043721061,1.4910849678734186
2013-02-28,1.084659825927079,0.9716400511122525,0.6847057084399392,0.020149106244148562,1.4645579785135179,1.3269894342096582
2013-03-07,0.9372455783837287,0.9976572542583927,0.7949802312794466,0.0770621249385589,1.4160296381535131,1.2401217467025623
2013-03-14,0.883118158942982,0.987914986571504,0.7857304778463482,0.11937114874394139,1.3418580189465499,1.1902204025717331
2013-03-21,0.9447497950343444,1.002405703021094,0.833072224564515,0.15583509853515187,1.315639930444835,1.1806554235110567
2013-03-28,0.9776434688264096,1.0579996935952178,0.8689726347425051,0.2193739240231305,1.2974341183247613,1.2614369135582404
2013-04-04,0.9329034144032814,1.0512567498324261,0.8246004246134314,0.261655477624925,1.293665734130379,1.2797694488613969
2013-04-11,1.198734942151431,1.0029541710664336,0.7807311214373541,0.3219140617197055,1.3019941128405241,1.2656543201315962
2013-04-18,0.9348847727352152,0.9432078564604501,0.6977050822746396,0.30581714194652587,1.2746055195238872,1.1197366965535562
2013-04-25,0.7604829769345289,0.9582821011152922,0.7761891676525342,0.3601753549001252,1.2275498988008013,1.0579194724798129
2013-05-02,0.7145475340147747,0.961388517395173,0.7445984198250137,0.3746390868041552,1.1842907123101725,1.0102049616633484
2013-05-09,0.5835050349919021,0.9575728080590329,0.7702505373779635,0.38801158884420733,1.130992571622498,0.9499056495735251
2013-05-16,0.7252142231478675,0.9611726650331829,0.8266110778943355,0.475125935111797,1.1262752431857366,1.00228626055568
2013-05-23,0.9584485517928786,0.9876867904797341,0.8344605596355155,0.49398711214239893,1.1563614127829693,1.1327073298301529
2013-05-30,0.9922334803341727,1.0411452836515465,0.8163098997266498,0.5500929363089296,1.1912004954657447,1.2776772610094174
2013-06-06,0.8329037104439576,1.0583414090700451,0.8105305638477228,0.6055197651717407,1.233741382275868,1.311916709768124
2013-06-13,0.7723705484618134,1.0398261681802032,0.802668326340009,0.6636056774594128,1.2738517318019171,1.2803352354491406
2013-06-20,1.0651674342352784,1.0762451011800989,0.8567446256477529,0.7373806450753776,1.4893023853933531,1.4374124876953431
2013-06-27,0.7328986793316028,0.9543276045385498,0.8411649801266593,0.733008950255299,1.4248842208400754,1.2236276843159122
2013-07-04,0.4492128649291685,0.6562964922036212,0.8087632957905053,0.6745607008438916,1.2779028880586332,1.0159763754046844
2013-07-11,0.1594609591267785,-0.047335131998873625,0.6838836652944402,0.4691144126820349,1.0664945195661644,0.7765417785969297
2013-07-18,-0.08679141763525841,-0.6111673925629916,0.5684088249342956,0.34167920686794706,0.8458319893301195,0.5556057413885848
2013-07-25,-0.11950182531480916,-0.8663947763875858,0.5047703895514651,0.25650715272665114,0.7755795979394764,0.42982796337064977
2013-08-01,-0.2695488967551691,-1.0216654969385783,0.45721223501303127,0.1754100137652404,0.7022184889245666,0.25531020069497484
2013-08-08,-0.3721452563978046,-1.080399005387264,0.41244965498039077,0.12076553209970606,0.6343589600937899,0.15476426999915693
2013-08-15,-0.5631763681997937,-1.3791079502004968,0.3693076005669502,-0.04676376881003652,0.47701752952991083,-0.03196719302339002
2013-08-22,-0.649787027064493,-1.4273638969280356,0.3558396493220097,-0.03530071475726032,0.4151557117701083,-0.16659253617797184
2013-08-29,-0.7650411789919298,-1.448731051667309,0.2610754667290438,-0.06960609499028703,0.30677347023941137,-0.3551365154684197
2013-09-05,-0.8131364182129376,-1.227643718019594,0.266719534598043,-0.034673948779373576,0.27963787343955093,-0.43265866774417455
2013-09-12,-0.7314504415697294,-0.8805277739115469,0.26892022935228416,0.042560989506395364,0.28585416680639225,-0.41278736893058104
2013-09-19,-0.6554073488868979,-0.6224933600565392,0.2871247910165217,0.08345039709056362,0.25172547976832976,-0.40896329261917597
2013-09-26,-0.6739836987651975,-0.43697803734994056,0.3143670438544226,0.11690394311178948,0.2206028797682268,-0.44989656882996465
2013-10-03,-0.5264270308262923,-0.3110690530804484,0.28620880541722293,0.10381725635695543,0.1932614165110077,-0.3487045527113897
2013-10-10,-0.5036661114122518,-0.18434611680007515,0.2805633148963229,0.11271290579870749,0.1759054611166649,-0.3043274773435316
2013-10-17,-0.391436824219233,-0.047705221246606505,0.35629018635712134,0.1286935505373697,0.17839091819352842,-0.25817113817549975
2013-10-24,-0.32584340136161066,-0.02301859546838829,0.36250249949898833,0.12034217833448928,0.13596769327933167,-0.2782961124166222
2013-10-31,0.15521330546737178,0.10220922740491376,0.43644206617566195,0.16485194617835072,0.17450093300933744,-0.1192044415682986
2013-11-07,1.080842285574867,0.29406531521648205,0.47694453257724145,0.27799105694322634,0.40935386953242403,0.3567194564345054
2013-11-14,1.084900065304939,0.403260028579745,0.4907606137220687,0.3544431996658898,0.5529863591679277,0.5398391016567031
2013-11-21,0.9711309701089379,0.48139525140263517,0.4920363695909653,0.40004469183014113,0.608383365779701,0.6126381793319503
2013-11-28,0.7264510706200793,0.47225291650913587,0.4274978860874796,0.3652543293004439,0.6057935729295663,0.5609434019861723
2013-12-05,0.5071505163654638,0.49030883292556615,0.41569382994743503,0.33021686960372565,0.5694832888215737,0.4913031346471278
2013-12-12,0.3355527779771256,0.5290559660256856,0.4065382627016444,0.32638766711548256,0.5424962857595284,0.422000547426257
2013-12-19,0.3782253420844586,0.6236625687806112,0.48646576356632004,0.3669564805635564,0.5525572274843075,0.47609885579040656
2013-12-26,1.1558500874506095,0.7688584912225542,0.5612798008095603,0.4791153078519983,0.7199980775013872,0.7749362671252469
2014-01-02,1.4152869785376498,0.9067663990947454,0.6063665843714017,0.5796386830843505,0.9035103489595099,1.0225541080007239
2014-01-09,1.2470110234486302,0.9184413066022084,0.5406772133465346,0.5965229052957925,0.9876438644094432,1.0349035284359132
2014-01-16,1.3510730150898977,1.034125942539766,0.6641117448579217,0.6978834595857242,1.099947040328753,1.1475668822156841
2014-01-23,1.680338322339763,1.1422533098129257,0.6922820519395824,0.88282990264839,1.3511118747788275,1.4512342048929077
2014-01-30,1.9225420494795655,1.3321783584580533,0.8374976098663809,1.1163966056629788,1.7884132081535586,1.8061458818245264
2014-02-06,1.9638413689734548,1.4383306336737063,0.819873871804035,1.2732354588015091,2.011709182804148,1.88521265925158
2014-02-13,1.9607020822997423,1.4618029070189231,0.7848210219671041,1.337939683176769,2.144284980732071,1.9212018778647986
2014-02-20,1.7190301545891888,1.380876236656988,0.7148661571630303,1.3855310150580384,2.165352208836747,1.8254008204957806
2014-02-27,1.84464712033802,1.5292642989654976,0.8093913030692992,1.544146185843369,2.252939891069549,1.917180419838979
2014-03-06,1.6949390475326218,1.490793707279226,0.6947653720411893,1.5700402213242248,2.2800805225149317,1.8732061035351262
2014-03-13,1.329944875842973,1.4031408560504874,0.6882987493090976,1.5801848892540848,2.2214774597662927,1.688264361989939
