date_mesure;02388X0060_F1;03851X0021_S2;03128X0011_F;02442X0111_F;03822X0021_F;03113X0031_F;02465X0061_F;03493X0013_F;02451X0023_F;03114X0023_F;03462X0043_F;04184X0035_F;02431X0106_F;02408X0016_F;03546X0017_F;03152X0027_F;03107X0008_F;03124X0088_F;03884X0021_TF1PR;02396X0030_PZ;03486X0022_PZ;02478X0122_PZ;02047X0072_PZ;02034X0082_PZ;03101X0023_PZ;03535X0043_PZ;02796X0044_PZ;02413X0065_PZ;03137X0026_PZ;02803X0036_PZ;03516X0036_PZ;02385X0046_PZ;02478X0156_PZ;03182X0027_PZ;02782X0047_PZ;02812X0238_PZ;03175X0338_PZ;03473X0029_PZ;03162X0049_PZ;03834X0049_PZ
2006-06-29;-8.474285714285715;-1.95;-14.164285714285715;-2.1457142857142855;-3.587142857142857;-5.082857142857143;-8.594285714285714;-8.889999999999999;-2.1371428571428575;-6.652857142857143;-7.57;-9.087142857142856;-3.1128571428571425;-13.338571428571429;-4.162857142857143;-6.211428571428571;-10.001428571428573;-16.35304761904762;-5.811428571428571;-10.565714285714288;-23.285714285714285;-5.3342857142857145;-7.428571428571429;-5.341428571428572;-7.305714285714286;-3.357142857142857;-3.1585714285714284;-4.391904761904762;-12.728571428571428;-2.355714285714286;-5.261428571428572;-2.575714285714286;-5.304285714285714;-5.898571428571429;-6.211428571428572;-1.57;-2.338571428571428;-6.45;-9.34142857142857;-9.787142857142857
2006-07-06;-8.49;-2.0214285714285714;-14.33;-2.3242857142857143;-3.6785714285714284;-5.3;-8.641428571428571;-8.994285714285715;-2.164285714285714;-6.882857142857143;-7.611428571428571;-9.31857142857143;-3.0171428571428573;-13.459999999999999;-4.352857142857142;-6.265714285714286;-10.107142857142858;-16.68485714285714;-5.8914285714285715;-10.638571428571428;-23.395714285714288;-5.405714285714287;-7.575714285714286;-5.45;-7.442857142857143;-3.414285714285714;-3.4299999999999997;-4.5092857142857135;-12.879999999999999;-2.317142857142857;-5.381428571428572;-2.6671428571428573;-5.375714285714286;-5.992857142857143;-6.25;-1.5771428571428572;-2.3514285714285714;-6.6414285714285715;-9.584285714285715;-9.854285714285712
2006-07-13;-8.527142857142858;-2.1028571428571428;-14.462857142857143;-2.5471428571428576;-3.742857142857143;-5.4957142857142856;-8.677142857142856;-9.120000000000001;-2.205714285714286;-7.1000000000000005;-7.664285714285714;-9.525714285714287;-3.152857142857143;-13.571428571428571;-4.5042857142857144;-6.542857142857143;-10.20142857142857;-17.016666666666666;-6.001666666666666;-10.780000000000001;-23.51571428571429;-5.475714285714285;-7.7;-5.572857142857143;-7.565714285714286;-3.468571428571429;-3.6914285714285713;-4.626666666666666;-13.007142857142856;-2.415714285714286;-5.527142857142857;-2.755714285714286;-5.445714285714286;-6.074285714285714;-6.288571428571428;-1.6085714285714285;-2.36;-6.807142857142857;-9.782857142857143;-9.887142857142859
2006-07-20;-8.565714285714286;-2.1785714285714284;-14.614285714285714;-2.8657142857142857;-3.815714285714286;-5.685714285714285;-8.73;-9.254285714285714;-2.2514285714285713;-7.3100000000000005;-7.74;-9.64;-3.2285714285714286;-13.680000000000001;-4.627142857142857;-6.845714285714286;-10.301428571428572;-17.19142857142857;-6.0842857142857145;-10.928571428571429;-23.64428571428571;-5.542857142857143;-7.821428571428571;-5.692857142857143;-7.694285714285714;-3.5185714285714282;-4.0685714285714285;-4.702857142857143;-13.124285714285715;-2.54;-5.6414285714285715;-2.8542857142857145;-5.512857142857143;-6.154285714285714;-6.3185714285714285;-1.637142857142857;-2.3728571428571428;-6.96;-9.972857142857142;-9.95142857142857
2006-07-27;-8.587142857142856;-2.2314285714285718;-14.742857142857144;-3.2600000000000002;-3.8657142857142857;-5.874285714285714;-8.791428571428572;-9.357142857142858;-2.292857142857143;-7.545714285714285;-7.807142857142857;-9.93;-3.2785714285714285;-13.782857142857143;-4.74;-7.115714285714286;-10.392857142857142;-17.360000000000003;-6.13;-11.014285714285714;-23.761428571428574;-5.609999999999999;-7.938571428571429;-5.815714285714286;-7.782857142857142;-3.5685714285714285;-4.4799999999999995;-4.798571428571428;-13.227142857142857;-2.6285714285714286;-5.752857142857144;-2.9528571428571433;-5.58;-6.22;-6.348571428571428;-1.657142857142857;-2.3814285714285712;-7.091428571428572;-10.151428571428571;-10.001428571428573
2006-08-03;-8.602857142857143;-2.281428571428571;-14.894285714285715;-3.52;-3.948571428571429;-6.071428571428571;-8.858571428571429;-9.434285714285716;-2.3557142857142854;-7.814285714285715;-7.862857142857143;-10.22;-3.35;-13.892857142857142;-4.897142857142858;-7.297142857142857;-10.487142857142857;-17.58857142857143;-6.246666666666666;-11.034285714285714;-23.87857142857143;-5.685714285714285;-8.09;-5.967142857142856;-7.859999999999999;-3.6157142857142857;-4.845714285714286;-4.897142857142858;-13.331428571428571;-2.7471428571428573;-5.908571428571428;-3.0542857142857143;-5.655714285714287;-6.317142857142857;-6.377142857142857;-1.6757142857142857;-2.3971428571428572;-7.207142857142857;-10.361428571428572;-10.067142857142857
2006-08-10;-8.631428571428572;-2.3414285714285716;-15.001428571428573;-3.803888888888889;-3.9757142857142855;-6.257142857142857;-8.911428571428571;-9.518571428571429;-2.402857142857143;-8.008571428571429;-7.927142857142857;-10.23;-3.3985714285714286;-13.985714285714286;-4.984285714285714;-7.482857142857143;-10.564285714285715;-17.77;-6.363333333333333;-11.155714285714286;-23.994285714285716;-5.744285714285715;-8.18142857142857;-6.090000000000001;-7.922857142857143;-3.6585714285714284;-5.185714285714285;-4.975714285714285;-13.427142857142856;-2.8628571428571425;-6.041428571428571;-3.1514285714285712;-5.714285714285714;-6.367142857142857;-6.402857142857143;-1.6957142857142855;-2.4;-7.322857142857143;-10.512857142857143;-10.142857142857142
2006-08-17;-8.657142857142857;-2.3757142857142854;-15.14;-4.087777777777778;-4.035714285714286;-6.4399999999999995;-8.955714285714285;-9.572857142857144;-2.45;-8.168571428571429;-7.971428571428571;-10.355714285714285;-3.415714285714286;-14.085714285714285;-5.127142857142857;-7.627142857142857;-10.624285714285715;-18.012857142857143;-6.48;-11.252857142857142;-24.101428571428574;-5.815714285714286;-8.305714285714286;-6.174285714285714;-7.9871428571428575;-3.7014285714285715;-5.508571428571429;-4.994285714285715;-13.475714285714286;-2.932857142857143;-6.126666666666666;-3.244285714285714;-5.785714285714286;-6.448571428571428;-6.428571428571429;-1.7085714285714284;-2.412857142857143;-7.377142857142857;-10.695714285714287;-10.195714285714287
2006-08-24;-8.67;-2.4114285714285715;-15.242857142857144;-4.371666666666667;-4.064285714285715;-6.607142857142857;-8.99;-9.634285714285713;-2.4785714285714286;-8.302857142857142;-8.001428571428571;-10.477142857142857;-3.3614285714285717;-14.184285714285716;-5.231428571428571;-7.785714285714286;-10.654285714285715;-18.192857142857143;-6.596666666666667;-11.197142857142856;-24.18857142857143;-5.878571428571428;-8.394285714285713;-6.218571428571429;-7.997142857142857;-3.7457142857142856;-5.737142857142857;-5.031428571428571;-13.547142857142857;-2.9899999999999998;-6.17;-3.325714285714286;-5.848571428571428;-6.507142857142857;-6.45;-1.7185714285714284;-2.4214285714285713;-7.467142857142856;-10.854285714285712;-10.175714285714287
2006-08-31;-8.682857142857143;-2.4499999999999997;-15.361428571428572;-4.655555555555556;-4.127142857142857;-6.76;-9.035714285714286;-9.684285714285712;-2.524285714285714;-8.418571428571429;-8.024285714285714;-10.561428571428573;-3.472857142857143;-14.274285714285714;-5.348571428571428;-7.9799999999999995;-10.711428571428572;-18.391428571428573;-6.702857142857143;-11.132857142857143;-24.28142857142857;-5.947142857142857;-8.512857142857143;-6.312857142857142;-8.015714285714285;-3.782857142857143;-5.9399999999999995;-5.121428571428572;-13.614285714285714;-3.1257142857142854;-6.169999999999999;-3.4014285714285712;-5.917142857142857;-6.591428571428572;-6.472857142857143;-1.7342857142857144;-2.432857142857143;-7.554285714285714;-11.022857142857143;-10.147142857142857
2006-09-07;-8.715714285714286;-2.4957142857142856;-15.454285714285716;-4.939444444444445;-4.135714285714285;-6.894285714285714;-9.085714285714285;-9.75;-2.5628571428571427;-8.531428571428572;-8.058571428571428;-10.629999999999999;-3.5485714285714285;-14.358571428571429;-5.435714285714285;-8.247142857142858;-10.804285714285713;-18.564285714285713;-6.8;-11.221428571428572;-24.37142857142857;-6.01;-8.61;-6.412857142857143;-8.047142857142857;-3.8200000000000003;-6.134285714285714;-5.201428571428572;-13.583387755102041;-3.2414285714285715;-5.592142857142857;-3.4771428571428573;-5.9799999999999995;-6.655714285714287;-6.492857142857143;-1.7485714285714287;-2.437142857142857;-7.654285714285714;-11.16;-10.180000000000001
2006-09-14;-8.755714285714285;-2.4971428571428573;-15.565714285714284;-5.223333333333334;-4.187142857142858;-7.028571428571429;-9.09;-9.804285714285713;-2.544285714285714;-8.629999999999999;-8.105714285714285;-10.658333333333333;-3.4514285714285715;-14.437142857142858;-5.46;-8.082857142857142;-10.901428571428571;-18.74285714285714;-6.86;-11.287142857142857;-24.46857142857143;-6.048571428571428;-8.707142857142857;-6.507142857142857;-8.077142857142857;-3.85;-6.242857142857143;-5.265714285714286;-13.552489795918367;-3.067142857142857;-5.014285714285714;-3.5542857142857143;-6.018571428571428;-6.6414285714285715;-6.514285714285713;-1.6914285714285715;-2.402857142857143;-7.7128571428571435;-11.267142857142858;-10.205714285714285
