date_mesure,B,A
2011-09-15,0.3386980170098736,-0.9354120299247555
2011-09-22,0.19069382462266865,-1.010819419680523
2011-09-29,0.03897701755336902,-1.1134043852964441
2011-10-06,-0.09956805632421517,-1.0933292581979033
2011-10-13,-0.17501109300854323,-1.1242178090994854
2011-10-20,-0.28931367645274586,-1.0262567014793964
2011-10-27,-0.35192726975826877,-0.8692456195341168
2011-11-03,0.5513047466336377,0.5807765537344322
2011-11-10,1.2178791532978286,0.9425318825667424
2011-11-17,1.027967400106517,0.7755857900382246
2011-11-24,0.6906098028612038,0.6180139348770002
2011-12-01,0.4720660755867415,0.5215545068510234
2011-12-08,0.1799294187755461,0.453034673843772
2011-12-15,-0.06449033577335317,0.39741278641807437
2011-12-22,-0.3037615908455707,0.349582579704323
2011-12-29,-0.5084550371434321,0.34128994563023063
