date_mesure,A,C,B,D
2010-12-30,0.9024403971887931,1.2752132127490006,0.5306693136346897,-0.7727053038495778
2011-01-06,0.9560109457140296,1.2488862736137134,0.4813111279156139,-0.7765865852339474
2011-01-13,0.7665279167391911,1.2029455533191136,0.5343175936318244,-0.7728048847673653
2011-01-20,0.5286033972956434,1.1640807088079996,0.42924656550366164,-0.7297486570020553
2011-01-27,0.5146344805579764,1.136478427504987,0.5660305233199464,-0.7146368865882413
2011-02-03,0.48888372952604986,0.9699298465682296,0.6057273733702513,-0.7058761382946663
2011-02-10,0.42799923081058894,0.9649772996539939,0.5144300582247698,-0.6912200209597997
2011-02-17,0.46305419906347817,0.9341028387598695,0.6659757902657453,-0.6892723254743451
2011-02-24,0.33919213640833384,0.8809388689459926,0.7983710057907918,-0.693387563261346
2011-03-03,0.258518997174253,0.8363373302791773,0.6344059108466791,-0.6822039130882617
2011-03-10,1.032953642047181,0.9988778444199187,0.8222374072259743,-0.5309708440900984
2011-03-17,1.5955502558446804,1.5397823994706623,1.1120755540583949,-0.3536503389670753
2011-03-24,1.5867606392037432,1.5637695972079992,1.0674518349166182,-0.36908313830282213
2011-03-31,1.3479904437227301,1.5486732516812387,1.0044966691891057,-0.28477039237602164
2011-04-07,1.0202446815616606,1.4407941174819248,0.8173046668585422,-0.2788136225316369
2011-04-14,0.7424830351150042,1.3460730607298674,0.6788369934556799,-0.2203909921374244
2011-04-21,0.6419582562044079,1.2477766634132768,0.6668191541213854,-0.15513767696070113
2011-04-28,0.5618651959440379,1.160728128468635,0.5920478697857267,-0.15726413379167015
2011-05-05,0.3489458990283171,1.060605859980054,0.4003395128446343,-0.16748387378663704
2011-05-12,0.16046853503850222,0.9723534022822641,0.2681694702977267,-0.15128681839840913
2011-05-19,-0.0338475024246713,0.871065629815982,0.14407883662445084,-0.1678525943458981
2011-05-26,-0.17985129207585965,0.7787606222823203,0.035849672443252184,-0.17100438908878487
2011-06-02,-0.04647035434373281,0.8049075334383161,0.0582830197215851,-0.1522997883405626
2011-06-09,-0.1352883610881543,0.7739576790616276,0.01623188949538271,-0.15713963718097407
2011-06-16,-0.34729797017756003,0.6787352224943642,-0.15547585678064296,-0.13029277631425684
2011-06-23,-0.5086997380138905,0.5938335200493049,-0.28728981928263875,-0.06750369216264973
2011-06-30,-0.6776788381604177,0.49415299528825135,-0.40526379951155417,0.08812246458617595
2011-07-07,-0.7820974295873422,0.4155965746126401,-0.5264600409247256,0.17366196935708345
2011-07-14,-0.7200223254302534,0.3996130951280255,-0.5670374042965656,0.19612777940721865
2011-07-21,-0.805850852132604,0.3516641635499487,-0.7016077988114452,0.24104649238862813
2011-07-28,-0.8446360176748509,0.2768744844432911,-0.7422788728168109,0.32299708208852085
2011-08-04,-0.8882210379012754,0.21685321078319186,-0.884232599532855,0.30393551792410667
2011-08-11,-0.9777964331727025,0.17769711390029774,-1.0313222613199238,0.19338877027530554
2011-08-18,-1.0734529346681538,0.1019422539186492,-1.0664843942681,0.1788894820986513
2011-08-25,-1.1007952236846104,0.04016854522890467,-1.0705591971368773,0.2585989320390437
