date_mesure,B,C,A
2006-09-07,-0.27099187230241356,-0.8115266367089494,-0.16179556614197194
2006-09-14,0.12535752397737987,-0.7208866619543237,-0.15874306730352172
2006-09-21,0.1796164736318008,-0.45667672149496386,-0.10032083150280724
2006-09-28,0.5579855139989084,0.17570726771763023,0.15845864256989575
2006-10-05,0.767602654421204,0.7494600704267482,0.4897520511013608
2006-10-12,0.35420725067819736,0.49766755687169556,0.5939345846316784
2006-10-19,0.095637956709417,0.39590325717941516,0.6489018170189633
2006-10-26,-0.19480216308533038,0.3931753794674696,0.6826184929078248
2006-11-02,-0.3450986605292411,0.09762107461764727,0.6418441453592616
2006-11-09,-0.5304419333479459,-0.05403622300824966,0.5998004380608581
2006-11-16,-0.5836067055200307,-0.04515392602925582,0.5751587523951192
