date_mesure,D,A,B,C
2011-07-21,-1.3809752727872375,-0.8852269182807313,-0.7416133306938797,-0.729387267484038
2011-07-28,-1.4411586490648336,-0.9449166775124491,-0.7728454284835449,-0.7944670535778049
2011-08-04,-1.4988978626455498,-0.9973760573029427,-0.8150440367854652,-0.8524953981924679
2011-08-11,-1.543322430081516,-1.0126529751645321,-0.8302328201241125,-0.8766570902407356
2011-08-18,-1.5591940302888219,-1.0739037525999386,-0.8328996302370482,-0.9159147442061951
2011-08-25,-1.5687972761496716,-1.068503203285336,-0.8253411179221763,-0.9294589661733882
2011-09-01,-1.5924943598990264,-1.1078542096251167,-0.8307825013363761,-0.9730227302501682
2011-09-08,-1.6100025142562167,-1.1218970474664207,-0.8405328938562565,-1.0021917738466266
2011-09-15,-1.6491163880427702,-1.1790884119790421,-0.8562626171237886,-1.053894510576974
2011-09-22,-1.6744420560184137,-1.2167774615251583,-0.8776084412151938,-1.101827190331874
2011-09-29,-1.7376019659726785,-1.286073815813056,-0.9007891809114754,-1.1739148662575913
2011-10-06,-1.7718101871273912,-1.3172833329594873,-0.9203400821983145,-1.2240848016604056
2011-10-13,-1.8178378131058524,-1.3474031482803244,-0.9435444656208274,-1.2652391854884004
2011-10-20,-1.8370752206972445,-1.409931600629581,-0.9624018821168818,-1.3088703246486926
2011-10-27,-1.8747793575881397,-1.4384954430523462,-0.987837655793505,-1.351596653959997
2011-11-03,-1.896108912232767,-1.449827282313082,-1.0082734838815801,-1.3808855110622376
2011-11-10,-1.9275061563192049,-1.4558980582180028,-1.0366399898918577,-1.4220506726352309
2011-11-17,-1.954936818811001,-1.4969941677661067,-1.0615558140419203,-1.471377144662625
2011-11-24,-1.9935853484732262,-1.5276768891400951,-1.090919691242564,-1.519577811040326
2011-12-01,-2.0062596883846013,-1.4692291477775354,-1.1028477574380466,-1.5286595252463102
2011-12-08,-1.9594570528472128,-1.2337189658901877,-1.101320748808945,-1.4715602159544534
2011-12-15,-1.8180316529222305,-0.41000508835981186,-1.0783839066695873,-1.312818778910257
2011-12-22,-1.7536350388640227,-0.0247620797896535,-1.0597075464772052,-1.1664410462789285
2011-12-29,-1.6999877778204302,0.15636275643205244,-1.0315861594655793,-1.0451367797774607
2012-01-05,-1.599358541653938,0.5447385093578131,-0.9979005353950141,-0.8281596755490532
2012-01-12,-1.5174710264204394,0.520070216098713,-0.9761018809700999,-0.6799057364700815
2012-01-19,-1.4192922024590406,0.5290456719042697,-0.9559438497320243,-0.5653704355728401
2012-01-26,-1.3550542263566983,0.5139188906283292,-0.9395514119725084,-0.4784117594655499
2012-02-02,-1.2972211695367963,0.42213821771766225,-0.930265707901632,-0.4276243797893845
2012-02-09,-1.2357578098141946,0.31733265364535734,-0.9191396165922403,-0.39043935509879757
2012-02-16,-1.167091369182419,0.329848884100557,-0.9051115750792508,-0.36027757553928086
2012-02-23,-1.0919093846279353,0.27362922040389315,-0.8993167322530786,-0.3435022455516712
2012-03-01,-0.9848724313164436,0.3779340851086744,-0.883525905183616,-0.2958990813964223
2012-03-08,-0.86801334616903,0.738339771966813,-0.8647599283571354,-0.16813397577427486
2012-03-15,-0.9214530306413165,0.6281338387559775,-0.8430754916725378,-0.07264668399318108
2012-03-22,-0.9050348165352402,0.5035599032655063,-0.836007809594266,-0.03345878927521012
2012-03-29,-0.865201032001645,0.39722612101407645,-0.8222450099948302,-0.003474164646711575
2012-04-05,-0.8409329879060503,0.3054883132110772,-0.8130180190103371,-0.001952215015014025
2012-04-12,-0.8036816210725913,0.25123353919633623,-0.8044355933163381,0.0027385141722323647
2012-04-19,-0.7615331104309756,0.28170050036014105,-0.799205375061431,0.015304453574615962
2012-04-26,-0.7466629049833012,0.4475711428236505,-0.7983665091632263,0.026539092278394155
2012-05-03,-0.7044103363460923,0.5476296118268734,-0.7842362499487514,0.06897067731765782
2012-05-10,-0.7112070418078946,0.5211546302574763,-0.7906428774109571,0.04903163150162876
2012-05-17,-0.7002460134984118,0.4371208767747537,-0.7832547399884424,0.03841365558296561
2012-05-24,-0.7325907538618117,0.34753894064570906,-0.8070791547623186,-0.008760791999362971
2012-05-31,-0.7464141213178231,0.2695730469133746,-0.8233487673045958,-0.05595553862356145
2012-06-07,-0.7412160978986277,0.23604541075764784,-0.822742782073891,-0.06862680251768982
2012-06-14,-0.7676551415701864,0.22179656125541264,-0.8155144079840673,-0.08269401685205185
2012-06-21,-0.7724564121611652,0.2396348563615796,-0.8054493125719197,-0.09027506579690689
2012-06-28,-0.7797619500555023,0.14796564531451478,-0.8112271124910762,-0.13527656163609916
2012-07-05,-0.7552074032190996,0.14399562572781238,-0.809474242854092,-0.12103109921647318
2012-07-12,-0.7058428955979568,0.39660553205404997,-0.7728342599865006,-0.047080506270505945
2012-07-19,-0.7364754766539412,0.3111344535370379,-0.7679882989443112,-0.05443838142191962
2012-07-26,-0.7918249703145723,0.15951341405132546,-0.7925870969160964,-0.08807385312931643
2012-08-02,-0.8280655745372301,0.06424982472585,-0.8421223800200899,-0.12850026655553926
2012-08-09,-0.865487154268771,-0.03857569308073844,-0.9052586193693459,-0.19253844947979115
2012-08-16,-0.9051862994956641,-0.16363739216863038,-0.97840620789939,-0.28336092525310325
2012-08-23,-0.9560777958781818,-0.2621675295580089,-1.0396260503048544,-0.3648960534194454
2012-08-30,-1.0374795691015688,-0.35138975310951676,-1.0958772679960953,-0.45299675097915937
2012-09-06,-1.0931224918492828,-0.4599512225905924,-1.1356987410941441,-0.5370856121206358
2012-09-13,-1.1433807947280108,-0.5329602737745758,-1.1806578018364347,-0.6005839979430349
2012-09-20,-1.1817050243293905,-0.5932947525876983,-1.2038658697280482,-0.6607214269345615
2012-09-27,-1.2260555713413146,-0.5813442934759829,-1.2401587546252353,-0.6992884660070454
2012-10-04,-1.2184700144822012,-0.4322177991638774,-1.241597490529351,-0.7055598931034295
2012-10-11,-1.2272562147190322,-0.3319987457777488,-1.2401588905530032,-0.7235620205498541
2012-10-18,-1.196682541052362,-0.17083649106062582,-1.2472899383000902,-0.7095263449679994
2012-10-25,-1.183631435655314,-0.021456322853102727,-1.2537962526603352,-0.7044979941719302
2012-11-01,-1.1617261074433336,0.44425442375812807,-1.2601223452207972,-0.6953382007051538
2012-11-08,-1.1767488163876276,0.6582498085566139,-1.2763729441132965,-0.6946387693881005
2012-11-15,-1.1650508974737637,0.5573265883356119,-1.283335418048592,-0.6830113451624368
2012-11-22,-1.136204857459955,0.5080485706173791,-1.2878839975659218,-0.6663057018702406
2012-11-29,-1.116315245780744,0.5901357368940429,-1.2970141019172852,-0.6523557137858305
2012-12-06,-1.0548280824394707,0.7646780519117606,-1.294756284274131,-0.5846678327575486
2012-12-13,-0.9559181763964539,0.9190199307923044,-1.2754660158569024,-0.47989204555117343
2012-12-20,-0.7805783782773907,1.3833113260099932,-1.2305129508563468,-0.25121180111002034
2012-12-27,-0.5334498074528058,1.723063895230296,-1.1408502443946744,0.1798894203059368
2013-01-03,-0.42185008498550236,1.7739876145113616,-1.0759705315820145,0.43624792198439666
2013-01-10,-0.3021095784107338,1.718562318403481,-1.0152379628133499,0.6089574620695084
2013-01-17,-0.17643637546641017,1.5675624245791653,-0.9585629011400638,0.7164112065527455
2013-01-24,-0.0808286071013305,1.5384199943896937,-0.9221693126400334,0.797661222433395
2013-01-31,0.06213354974915136,1.7738329987887298,-0.8421598134938704,0.9907033554249067
2013-02-07,0.24715275370128031,1.8439830219179574,-0.7383200782445882,1.230967037421761
2013-02-14,0.38951966418244394,1.8016163070502005,-0.637275114886187,1.4198322586814807
2013-02-21,0.4952783587320307,1.6723604610384308,-0.5555474347182093,1.5356997532635792
2013-02-28,0.6120734435891305,1.5243600818329488,-0.4759513601027969,1.608529954642643
2013-03-07,0.7467050801251554,1.3936323852162578,-0.40133218256329406,1.6600714270289356
2013-03-14,0.8522330647412668,1.400475645553644,-0.3367668785987268,1.6969055148137988
2013-03-21,0.9416456842018692,1.3598851722021634,-0.2541742287505633,1.7459456470120822
2013-03-28,1.011413229475203,1.2126076972303537,-0.1685911880840505,1.7559438013244901
2013-04-04,1.0679388911022532,1.0790208223209943,-0.10167838529619821,1.7448278077506711
2013-04-11,1.1025178398542819,0.9906725207250512,-0.04873616813148551,1.723966862119253
2013-04-18,1.1092396125852406,0.877879706973878,-0.015657817261938378,1.6678839813897335
2013-04-25,1.122018221414738,0.7507106213947821,0.015009660271310565,1.6074659896954553
2013-05-02,1.1204201462654397,0.6471134300668296,0.04242241170919159,1.5379181681805223
2013-05-09,1.1298339840881584,0.6115590406275179,0.09430236979162854,1.4912293318085086
2013-05-16,1.128650413082463,0.5477157071438308,0.10883720139693909,1.4393642753732387
2013-05-23,1.154709580863197,0.546224506946615,0.14845964156969627,1.4129371335664387
2013-05-30,1.124778530594122,0.49012392459006904,0.1526244808782159,1.3385444781615714
2013-06-06,1.0753839134684013,0.3551699332411751,0.1605088632096483,1.2462665347493758
2013-06-13,1.011949462209244,0.25478385437679707,0.13668068955629387,1.1528063055864994
2013-06-20,0.9854432558581384,0.3206940930984275,0.15165442785433458,1.1307814855792822
2013-06-27,0.9503427700991427,0.23426334623143413,0.18072800471468758,1.0596482105788718
2013-07-04,0.8750058474952043,0.12769892420728446,0.15371121134130505,0.9667929299082305
2013-07-11,0.7831961804783247,-0.016336830286535653,0.07997934305558563,0.8468401678341906
2013-07-18,0.6875117843512282,-0.16523881745127522,-0.018213261292556182,0.7141615573236262
2013-07-25,0.647075449399747,-0.21202741193191782,-0.022342691670816317,0.6482651705645014
2013-08-01,0.6269367678201949,-0.2501905837304062,0.014412335655287878,0.6039652736132394
2013-08-08,0.5566440524664598,-0.3407079830758484,0.00863403948954311,0.5145017820114484
2013-08-15,0.4784060252127601,-0.4577463881752653,-0.030017699742668852,0.42945447026972483
2013-08-22,0.42662329772346846,-0.5198833181946508,-0.040498571930182886,0.330985023743153
2013-08-29,0.37883697616325074,-0.6046444362786904,-0.04259407382675466,0.2446549431650599
2013-09-05,0.3136831554104074,-0.7009205799076437,-0.05344093511860744,0.15552615866171243
2013-09-12,0.28031870682191823,-0.6936057472161634,-0.04500624753305028,0.10466560963413003
2013-09-19,0.2422323676469304,-0.6844152267458878,-0.03930589414311368,0.05277311085507122
2013-09-26,0.18745418616322726,-0.795608732765286,-0.04147730873808167,-0.03287473557204626
2013-10-03,0.08529837913794872,-0.8648433239221491,-0.06600428568424727,-0.11667980436593901
2013-10-10,0.047441154456905776,-0.7895037887286884,-0.0391030991879579,-0.14648511615323206
2013-10-17,0.011308450740762005,-0.7124175303152431,-0.0294658219973033,-0.1624101341425469
2013-10-24,-0.04760085482009854,-0.5997106315389693,-0.044472628206667,-0.18977722756883514
2013-10-31,-0.057583387277610115,-0.039622766938998334,-0.039407781293314584,-0.17259837852411355
2013-11-07,0.01473336227088709,0.8260367937580793,0.02166440024459043,0.01238192888694517
2013-11-14,0.039487694477039814,0.8817034180568097,0.07717988320011895,0.14936271757542288
2013-11-21,0.05707778329413901,0.9260180097122157,0.09390141214698378,0.20370969285842633
2013-11-28,0.05193284876450094,0.8050412952885869,0.10750818146300772,0.21793860055433
